"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"03/01/2024 00:30:00 - 03/01/2024 00:45:00","BZN|FI","1753.40","1588.80","1637.20","1503.70"
"03/01/2024 00:45:00 - 03/01/2024 01:00:00","BZN|FI","1755.80","1628.00","1646.60","1511.30"
"03/01/2024 01:00:00 - 03/01/2024 01:15:00","BZN|FI","1760.80","1691.00","1597.10","1529.30"
"03/01/2024 01:15:00 - 03/01/2024 01:30:00","BZN|FI","1762.90","1745.40","1601.10","1608.90"
"03/01/2024 01:30:00 - 03/01/2024 01:45:00","BZN|FI","1763.50","1793.40","1608.30","1691.90"
"03/01/2024 01:45:00 - 03/01/2024 02:00:00","BZN|FI","1763.00","1858.80","1622.10","1730.10"
"03/01/2024 02:00:00 - 03/01/2024 02:15:00","BZN|FI","1760.40","1951.50","1702.40","1791.50"
"03/01/2024 02:15:00 - 03/01/2024 02:30:00","BZN|FI","1759.20","2008.30","1706.50","1860.10"
"03/01/2024 02:30:00 - 03/01/2024 02:45:00","BZN|FI","1758.90","2043.60","1713.00","1888.50"
"03/01/2024 02:45:00 - 03/01/2024 03:00:00","BZN|FI","1758.10","2062.90","1728.50","1915.60"
"03/01/2024 03:00:00 - 03/01/2024 03:15:00","BZN|FI","1756.40","2054.60","1855.60","1915.50"
"03/01/2024 03:15:00 - 03/01/2024 03:30:00","BZN|FI","1756.50","2059.80","1855.60","1919.40"
"03/01/2024 03:30:00 - 03/01/2024 03:45:00","BZN|FI","1758.10","2069.90","1855.80","1928.20"
"03/01/2024 03:45:00 - 03/01/2024 04:00:00","BZN|FI","1759.50","2077.90","1855.10","1940.00"
"03/01/2024 04:00:00 - 03/01/2024 04:15:00","BZN|FI","1759.80","2088.80","2013.50","1944.10"
"03/01/2024 04:15:00 - 03/01/2024 04:30:00","BZN|FI","1763.90","2089.70","2012.80","1949.90"
"03/01/2024 04:30:00 - 03/01/2024 04:45:00","BZN|FI","1770.50","2086.00","2012.20","1923.10"
"03/01/2024 04:45:00 - 03/01/2024 05:00:00","BZN|FI","1780.20","2069.10","2008.40","1943.30"
"03/01/2024 05:00:00 - 03/01/2024 05:15:00","BZN|FI","1794.70","2029.50","2054.30","1944.30"
"03/01/2024 05:15:00 - 03/01/2024 05:30:00","BZN|FI","1806.50","2014.00","2055.60","1935.50"
"03/01/2024 05:30:00 - 03/01/2024 05:45:00","BZN|FI","1816.90","2012.20","2057.30","1896.40"
"03/01/2024 05:45:00 - 03/01/2024 06:00:00","BZN|FI","1828.50","2019.30","2062.80","1830.00"
"03/01/2024 06:00:00 - 03/01/2024 06:15:00","BZN|FI","1841.20","2043.40","2134.10","1796.40"
"03/01/2024 06:15:00 - 03/01/2024 06:30:00","BZN|FI","1852.30","2056.60","2131.80","1785.70"
"03/01/2024 06:30:00 - 03/01/2024 06:45:00","BZN|FI","1862.90","2062.90","2127.60","1796.00"
"03/01/2024 06:45:00 - 03/01/2024 07:00:00","BZN|FI","1871.30","2074.30","2119.70","1825.80"
"03/01/2024 07:00:00 - 03/01/2024 07:15:00","BZN|FI","1875.50","2092.80","2101.50","1860.10"
"03/01/2024 07:15:00 - 03/01/2024 07:30:00","BZN|FI","1885.20","2098.40","2098.20","1871.50"
"03/01/2024 07:30:00 - 03/01/2024 07:45:00","BZN|FI","1898.20","2096.30","2092.50","1897.10"
"03/01/2024 07:45:00 - 03/01/2024 08:00:00","BZN|FI","1913.90","2085.90","2081.10","1879.60"
"03/01/2024 08:00:00 - 03/01/2024 08:15:00","BZN|FI","1934.20","2062.00","1951.50","1839.00"
"03/01/2024 08:15:00 - 03/01/2024 08:30:00","BZN|FI","1951.70","2046.30","1948.60","1827.20"
"03/01/2024 08:30:00 - 03/01/2024 08:45:00","BZN|FI","1966.20","2035.30","1944.10","1858.20"
"03/01/2024 08:45:00 - 03/01/2024 09:00:00","BZN|FI","1986.60","2021.20","1933.30","1881.80"
"03/01/2024 09:00:00 - 03/01/2024 09:15:00","BZN|FI","2018.00","2003.60","2005.40","1878.80"
"03/01/2024 09:15:00 - 03/01/2024 09:30:00","BZN|FI","2031.20","1992.00","2001.20","1877.80"
"03/01/2024 09:30:00 - 03/01/2024 09:45:00","BZN|FI","2032.10","1982.70","1993.60","1883.50"
"03/01/2024 09:45:00 - 03/01/2024 10:00:00","BZN|FI","2026.50","1980.90","1979.40","1876.50"
"03/01/2024 10:00:00 - 03/01/2024 10:15:00","BZN|FI","2011.30","1992.60","1862.10","1863.10"
"03/01/2024 10:15:00 - 03/01/2024 10:30:00","BZN|FI","1992.70","1988.20","1855.10","1800.10"
"03/01/2024 10:30:00 - 03/01/2024 10:45:00","BZN|FI","1971.70","1974.10","1843.90","1712.00"
"03/01/2024 10:45:00 - 03/01/2024 11:00:00","BZN|FI","1938.20","1954.40","1817.40","1666.40"
"03/01/2024 11:00:00 - 03/01/2024 11:15:00","BZN|FI","1886.40","1924.90","1848.10","1650.10"
"03/01/2024 11:15:00 - 03/01/2024 11:30:00","BZN|FI","1850.00","1898.50","1842.50","1636.70"
"03/01/2024 11:30:00 - 03/01/2024 11:45:00","BZN|FI","1823.20","1874.40","1834.20","1618.20"
"03/01/2024 11:45:00 - 03/01/2024 12:00:00","BZN|FI","1795.30","1843.00","1811.40","1598.60"
"03/01/2024 12:00:00 - 03/01/2024 12:15:00","BZN|FI","1767.00","1800.50","1774.70","1551.40"
